"filename", "language", "TypeScript", "JSON", "TypeScript React", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Redux\Reducers\paymentDetails.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Redux\Reducers\shippingDetails.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Redux\constants.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Redux\store.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Screens\Cart\Cart.tsx", "TypeScript React", 0, 0, 117, 0, 0, 0, 13, 130
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Screens\Checkout\Checkout.tsx", "TypeScript React", 0, 0, 197, 0, 0, 0, 16, 213
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Screens\Checkout\Confirm.tsx", "TypeScript React", 0, 0, 128, 0, 0, 0, 16, 144
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Screens\Checkout\Payment.tsx", "TypeScript React", 0, 0, 170, 0, 0, 0, 19, 189
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Screens\Products\ProductCard.tsx", "TypeScript React", 0, 0, 150, 0, 0, 2, 11, 163
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Screens\Products\ProductContainer.tsx", "TypeScript React", 0, 0, 228, 0, 0, 16, 21, 265
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Screens\Products\ProductDetail.tsx", "TypeScript React", 0, 0, 225, 0, 0, 0, 8, 233
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Screens\Products\ProductList.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 7, 47
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Screens\Products\Products.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Screens\User\Login.tsx", "TypeScript React", 0, 0, 115, 0, 0, 0, 11, 126
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Screens\User\Register.tsx", "TypeScript React", 0, 0, 113, 0, 0, 0, 10, 123
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Screens\User\UserProfile.tsx", "TypeScript React", 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Utils\cartFunctionality.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\Utils\isObjectEmpty.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\app.json", "JSON", 0, 16, 0, 0, 0, 31, 0, 47
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\Fill out-amico.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\Forgot password-bro (1).svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\Mobile login-pana (1).svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\common\baseurl.ts", "TypeScript", 3, 0, 0, 0, 0, 6, 5, 14
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\countries.json", "JSON", 0, 55, 0, 0, 0, 0, 1, 56
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\paymentMethods.json", "JSON", 0, 26, 0, 0, 0, 0, 1, 27
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\undraw_Order_confirmed_re_g0if (1).svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\undraw_Order_confirmed_re_g0if.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\babel.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\package-lock.json", "JSON", 0, 10727, 0, 0, 0, 0, 1, 10728
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\package.json", "JSON", 0, 59, 0, 0, 0, 0, 1, 60
"c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\tsconfig.json", "JSON", 0, 6, 0, 0, 0, 0, 1, 7
"Total", "-", 216, 10893, 4734, 6, 5, 57, 346, 16257
