Date : 2021-10-31 13:48:49
Directory : c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end
Total : 65 files,  15854 codes, 57 comments, 346 blanks, all 16257 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\app.json                                      | JSON             |         16 |         31 |          0 |         47 |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\Fill out-amico.svg                     | XML              |          1 |          0 |          0 |          1 |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\Forgot password-bro (1).svg            | XML              |          1 |          0 |          0 |          1 |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\Mobile login-pana (1).svg              | XML              |          1 |          0 |          0 |          1 |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\common\baseurl.ts                      | TypeScript       |          3 |          6 |          5 |         14 |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\countries.json                         | JSON             |         55 |          0 |          1 |         56 |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\paymentMethods.json                    | JSON             |         26 |          0 |          1 |         27 |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\undraw_Order_confirmed_re_g0if (1).svg | XML              |          1 |          0 |          0 |          1 |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\assets\undraw_Order_confirmed_re_g0if.svg     | XML              |          1 |          0 |          0 |          1 |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\babel.config.js                               | JavaScript       |          6 |          0 |          1 |          7 |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\package-lock.json                             | JSON             |     10,727 |          0 |          1 |     10,728 |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\package.json                                  | JSON             |         59 |          0 |          1 |         60 |
| c:\Users\M1064338\OneDrive - Mindtree Limited\Desktop\React Native\e-commerce\front-end\tsconfig.json                                 | JSON             |          6 |          0 |          1 |          7 |
| Total                                                                                                                                 |                  |     15,854 |         57 |        346 |     16,257 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
